---                                                | Device type                                                  | 1000-00h| 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192
Input Terminal Parameters                          | DI3 Logic Selection                                          | 2003-08h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI4 Function Selection                                       | 2003-09h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI4 Logic Selection                                          | 2003-0Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI5 Function Selection                                       | 2003-0Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI5 Logic Selection                                          | 2003-0Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI6 Function Selection                                       | 2003-0Dh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI6 Logic Selection                                          | 2003-0Eh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI8 Function Selection                                       | 2003-11h| 0x0026     | 0x0026     | 0x0026     | 0x0026     | 0x0026     | 0x0026
Input Terminal Parameters                          | DI8 Logic Selection                                          | 2003-12h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Input Terminal Parameters                          | DI9 Function Selection                                       | 2003-13h| 0x001f     | 0x001f     | 0x001f     | 0x001f     | 0x001f     | 0x001f
Input Terminal Parameters                          | DI9 Logic Selection                                          | 2003-14h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | States of functions not allocatedamong FunIN 33–48 (HEX)     | 2003-23h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | States of functions not allocatedamong FunIN 49–64 (HEX)     | 2003-24h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | SubIndex 000                                                 | 2004-00h| 0x38       | 0x38       | 0x38       | 0x38       | 0x38       | 0x38
Output terminal Parameters                         | DO1 Function Selection                                       | 2004-01h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Output terminal Parameters                         | DO1 Logic Level Selection                                    | 2004-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | DO2 function selection                                       | 2004-03h| 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005
Output terminal Parameters                         | DO2 Logic Level Selection                                    | 2004-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | DO3 Function Selection                                       | 2004-05h| 0x0009     | 0x0009     | 0x0009     | 0x0009     | 0x0009     | 0x0009
Output terminal Parameters                         | DO3 Logic Level Selection                                    | 2004-06h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | DO source                                                    | 2004-17h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | AO1 Signal Selection                                         | 2004-33h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | AO1 offset Voltage                                           | 2004-34h| 0x1388     | 0x1388     | 0x1388     | 0x1388     | 0x1388     | 0x1388
Output terminal Parameters                         | AO1 multiplying factor                                       | 2004-35h| 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064
Output terminal Parameters                         | AO2 Signal Selection                                         | 2004-36h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Output terminal Parameters                         | AO2 offset Voltage                                           | 2004-37h| 0x1388     | 0x1388     | 0x1388     | 0x1388     | 0x1388     | 0x1388
Output terminal Parameters                         | AO2 multiplying factor                                       | 2004-38h| 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064
Position Control Parameters                        | SubIndex 000                                                 | 2005-00h| 0x3e       | 0x3e       | 0x3e       | 0x3e       | 0x3e       | 0x3e
Position Control Parameters                        | First-order lowpass filter time                              | 2005-05h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Position Control Parameters                        | Clear action                                                 | 2005-11h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Position Control Parameters                        | Encoder frequency division pulses                            | 2005-12h| 0x09c4     | 0x09c4     | 0x09c4     | 0x09c4     | 0x09c4     | 0x09c4
Position Control Parameters                        | Speed feedforward control selection                          | 2005-14h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Position Control Parameters                        | Time of home searching                                       | 2005-24h| 0xc350     | 0xc350     | 0xc350     | 0xc350     | 0xc350     | 0xc350
Position Control Parameters                        | Servo pulse output source                                    | 2005-27h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Position Control Parameters                        | Output polarity of Z pulse                                   | 2005-2Ah| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Speed control                                      | SubIndex 000                                                 | 2006-00h| 0x10       | 0x10       | 0x10       | 0x1e       | 0x1e       | 0x1e
Speed control                                      | Jog speed setting value                                      | 2006-05h| 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064
Speed control                                      | Torque feedforward selection                                 | 2006-0Ch| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Speed control                                      | Speed limit for zero clamp                                   | 2006-10h| 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a
Torque control                                     | SubIndex 000                                                 | 2007-00h| 0x29       | 0x29       | 0x29       | 0x29       | 0x29       | 0x29
Torque control                                     | Torque reference filter time                                 | 2007-06h| 0x0032     | 0x0050     | 0x0032     | 0x0050     | 0x0032     | 0x0011
Torque control                                     | Thes second torque reference filter time                     | 2007-07h| 0x004f     | 0x004f     | 0x0032     | 0x0050     | 0x004f     | 0x004f
Torque control                                     | Torque limit source                                          | 2007-08h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
Torque control                                     | Internal forward torque limit                                | 2007-0Ah| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Torque control                                     | Internal reverse torque limit                                | 2007-0Bh| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Torque control                                     | External forward torque limit                                | 2007-0Ch| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Torque control                                     | External reverse torque limit                                | 2007-0Dh| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Torque control                                     | Emergency stop torque                                        | 2007-10h| 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8
Torque control                                     | Speed limit source                                           | 2007-12h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Torque control                                     | Forward speed limit/Speed limit 1 in torque control          | 2007-14h| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Torque control                                     | Reverse speed limit/Speed limit 2 in torque control          | 2007-15h| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Torque control                                     | Base value for torque reached                                | 2007-16h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Torque control                                     | Threshold of torque reached valid                            | 2007-17h| 0x00c8     | 0x00c8     | 0x00c8     | 0x00c8     | 0x00c8     | 0x00c8
Torque control                                     | Threshold of torque reached invalid                          | 2007-18h| 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064
Torque control                                     | Detection time of speed limit exceeded                       | 2007-29h| 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a
 Gain Parameters                                   | SubIndex 000                                                 | 2008-00h| 0x1a       | 0x1a       | 0x1a       | 0x48       | 0x48       | 0x48
 Gain Parameters                                   | Speed-loop Gain                                              | 2008-01h| 0x0096     | 0x00fa     | 0x0096     | 0x0096     | 0x0096     | 0x047e
 Gain Parameters                                   | Speed-loop integral time constant                            | 2008-02h| 0x0c6f     | 0x0c6f     | 0x0c6f     | 0x0c6f     | 0x0c6f     | 0x02b4
 Gain Parameters                                   | Position-loop Gain                                           | 2008-03h| 0x00fa     | 0x0190     | 0x00fa     | 0x00fa     | 0x00fa     | 0x0730
 Gain Parameters                                   | The second speed loop gain                                   | 2008-04h| 0x0190     | 0x0190     | 0x04b0     | 0x00fa     | 0x0190     | 0x0190
 Gain Parameters                                   | The second speed loop integral time constant                 | 2008-05h| 0x07d0     | 0x07d0     | 0xc800     | 0xc800     | 0x07d0     | 0x07d0
 Gain Parameters                                   | The second position loop gain                                | 2008-06h| 0x0280     | 0x0280     | 0x0578     | 0x0230     | 0x0280     | 0x0280
 Gain Parameters                                   | Second gain mode setting                                     | 2008-09h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
 Gain Parameters                                   | Gain switchover condition                                    | 2008-0Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
 Gain Parameters                                   | Gain switchover delay                                        | 2008-0Bh| 0x0032     | 0x0032     | 0x0005     | 0x0032     | 0x0032     | 0x0032
 Gain Parameters                                   | Gain switchover level                                        | 2008-0Ch| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
 Gain Parameters                                   | Gain switchover hysteresis                                   | 2008-0Dh| 0x001e     | 0x001e     | 0x001e     | 0x001e     | 0x001e     | 0x001e
 Gain Parameters                                   | Position gain switchover time                                | 2008-0Eh| 0x001e     | 0x001e     | 0x0032     | 0x001e     | 0x001e     | 0x001e
 Gain Parameters                                   | Average value of load inertia ratio                          | 2008-10h| 0x01f3     | 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4     | 0x0064
 Gain Parameters                                   | Speed feedforward filter time constant                       | 2008-13h| 0x03e8     | 0x03e8     | 0x0032     | 0x0032     | 0x0032     | 0x0032
 Gain Parameters                                   | Speed feedforward gain                                       | 2008-14h| 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8
 Gain Parameters                                   | Torque feedforward filter time constant                      | 2008-15h| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
 Gain Parameters                                   | Torque feedforward gain                                      | 2008-16h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
 Gain Parameters                                   | Speed feedback filter                                        | 2008-17h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
 Gain Parameters                                   | Cutoff frequency of speed feedback lowpass filter            | 2008-18h| 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0
 Gain Parameters                                   | Pseudo-differential forward feedback control  coefficient    | 2008-19h| 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8
Inertia Identification                             | SubIndex 000                                                 | 2009-00h| 0x28       | 0x28       | 0x28       | 0x36       | 0x36       | 0x36
Inertia Identification                             | Auto-adjusting mode                                          | 2009-01h| 0x0000     | 0x0001     | 0x0000     | 0x0000     | 0x0000     | 0x0001
Inertia Identification                             | Rigidity level selection                                     | 2009-02h| 0x000c     | 0x000c     | 0x000f     | 0x000c     | 0x000c     | 0x0014
Inertia Identification                             | Working mode of self-adaptive notch                          | 2009-03h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Online inertia auto-tuning mode                              | 2009-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Low-frequency vibration mode selection                       | 2009-05h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Offline inertia auto-tuning mode                             | 2009-06h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Maximum speed for inertia autotuning                         | 2009-07h| 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4
Inertia Identification                             | Acceleration/Deceleration time for inertia autotuning        | 2009-08h| 0x007d     | 0x007d     | 0x007d     | 0x007d     | 0x007d     | 0x007d
Inertia Identification                             | Interval after an inertia autotuning                         | 2009-09h| 0x0320     | 0x0320     | 0x0320     | 0x0320     | 0x0320     | 0x0320
Inertia Identification                             | Motor revolutions for an inertia auto-tuning                 | 2009-0Ah| 0x0068     | 0x0068     | 0x0068     | 0x0068     | 0x0068     | 0x0068
Inertia Identification                             | 1st notch frequency                                          | 2009-0Dh| 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0
Inertia Identification                             | 1st notch width level                                        | 2009-0Eh| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
Inertia Identification                             | 1st notch attenuation level                                  | 2009-0Fh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | 2nd notch frequency                                          | 2009-10h| 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0
Inertia Identification                             | 2nd notch width level                                        | 2009-11h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
Inertia Identification                             | 2nd notch attenuation level                                  | 2009-12h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | 3rd notch frequency                                          | 2009-13h| 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0
Inertia Identification                             | 3rd  notch width level                                       | 2009-14h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
Inertia Identification                             | 3rd  notch attenuation level                                 | 2009-15h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | 4th notch frequency                                          | 2009-16h| 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0     | 0x0fa0
Inertia Identification                             | 4th notch width level                                        | 2009-17h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
Inertia Identification                             | 4th notch attenuation level                                  | 2009-18h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Obtained resonance frequency                                 | 2009-19h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Disturbance torque compensation gain                         | 2009-1Fh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Inertia Identification                             | Disturbance observer filter time constant                    | 2009-20h| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
Inertia Identification                             | Low-frequency vibration frequency                            | 2009-27h| 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8
Inertia Identification                             | Filter of lowfrequency vibration frequency                   | 2009-28h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
Error and Protection Parameter                     | SubIndex 000                                                 | 200A-00h| 0x25       | 0x25       | 0x25       | 0x27       | 0x27       | 0x27
Error and Protection Parameter                     | Power inputphase loss protection                             | 200A-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Error and Protection Parameter                     | Absolute position limit set                                  | 200A-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Error and Protection Parameter                     | Retentive at power failure                                   | 200A-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Error and Protection Parameter                     | Motor overload protection gain                               | 200A-05h| 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064     | 0x0064
Error and Protection Parameter                     | Overspeed threshold                                          | 200A-09h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Error and Protection Parameter                     | Maximum position pulse frequency                             | 200A-0Ah| 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8     | 0x03e8
Error and Protection Parameter                     | Runaway protection                                           | 200A-0Dh| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Error and Protection Parameter                     | Position deviation threshold in low-frequency vibration      | 200A-11h| 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005
Error and Protection Parameter                     | DI8 filter time                                              | 200A-14h| 0x0050     | 0x0050     | 0x0050     | 0x0050     | 0x0050     | 0x0050
Error and Protection Parameter                     | DI9 filter time                                              | 200A-15h| 0x0050     | 0x0050     | 0x0050     | 0x0050     | 0x0050     | 0x0050
Error and Protection Parameter                     | Filter time of speed feedback display                        | 200A-1Ah| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
Error and Protection Parameter                     | Motor overload shielding                                     | 200A-1Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Error and Protection Parameter                     | Speed DO Filter time constant                                | 200A-1Ch| 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a
Error and Protection Parameter                     | Quadrature encoder filter time                               | 200A-1Dh| 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005
Error and Protection Parameter                     | Overheat protection time duration for locked rotor           | 200A-21h| 0x00c8     | 0x00c8     | 0x00c8     | 0x00c8     | 0x00c8     | 0x00c8
Error and Protection Parameter                     | Overheat protection for locked rotor                         | 200A-22h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Display Parameters                                 | SubIndex 000                                                 | 200B-00h| 0x64       | 0x64       | 0x64       | 0x63       | 0x63       | 0x63
Display Parameters                                 | Actual motor rotational speed                                | 200B-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Speed reference                                              | 200B-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Internal torque reference                                    | 200B-03h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Monitored DI states                                          | 200B-04h| 0x01bf     | 0x01bf     | 0x01bf     | 0x01bf     | 0x01bf     | 0x01bf
Display Parameters                                 | Monitored DO states                                          | 200B-06h| 0x0007     | 0x0007     | 0x0007     | 0x0007     | 0x0007     | 0x0007
Display Parameters                                 | Absolute position counter                                    | 200B-08h| 0x00555078 | 0x0586c199 | 0xffbd54d5 | 0x004edf44 | 0xf6b7dc17 | 0x032ccfc5
Display Parameters                                 | Mechanical angle                                             | 200B-0Ah| 0x7d08     | 0xf022     | 0x6889     | 0x7b3a     | 0x4353     | 0x3225
Display Parameters                                 | Electrical angle                                             | 200B-0Bh Command '['ethercat', '-p', '0', 'upload', '--type', 'int32', '0x200b', '0xb']' returned non-zero exit status 1.
Display Parameters                                 | Speed corresponding to input position reference              | 200B-0Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Average load rate                                            | 200B-0Dh Command '['ethercat', '-p', '0', 'upload', '--type', 'int32', '0x200b', '0xd']' returned non-zero exit status 1.
Display Parameters                                 | Input reference pulse counter                                | 200B-0Eh| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Display Parameters                                 | Encoder position deviation counter                           | 200B-10h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Display Parameters                                 | Feedback pulse counter                                       | 200B-12h| 0x0055507c | 0x0586c195 | 0xffbd54ce | 0x004edf48 | 0xf6b7dc23 | 0x032ccfc5
Display Parameters                                 | Total power-on time                                          | 200B-14h| 0x00933dbc | 0x00918f18 | 0x00916794 | 0x0091f6c3 | 0x0091c27c | 0x0091e478
Display Parameters                                 | Phase current valid value                                    | 200B-19h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Bus voltage                                                  | 200B-1Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Module temperature                                           | 200B-1Ch| 0x001c     | 0x001e     | 0x001e     | 0x0020     | 0x0020     | 0x001f
Display Parameters                                 | Displayed fault record                                       | 200B-22h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Fault code                                                   | 200B-23h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Time stamp upon displayed fault                              | 200B-24h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Display Parameters                                 | Current rotational speed upon displayed fault                | 200B-26h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Current U upon displayed fault                               | 200B-27h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Current V upon displayed fault                               | 200B-28h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Bus voltage upon displayed fault                             | 200B-29h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Input terminal state upon displayed fault                    | 200B-2Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Output terminal state upon displayed fault                   | 200B-2Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Display Parameters                                 | Reference position deviation                                 | 200B-36h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Display Parameters                                 | Actual motor rotational speed(0.1rpm)                        | 200B-38h| 0x00000000 | 0xffffffff | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Display Parameters                                 | Real Time Input reference pulse counter                      | 200B-41h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Communication                                      | SubIndex 000                                                 | 200C-00h| 0x2e       | 0x2e       | 0x2e       | 0x31       | 0x31       | 0x31
Communication                                      | Servo shaft address                                          | 200C-01h| 0x0001     | 0x0002     | 0x0003     | 0x0004     | 0x0005     | 0x0006
Communication                                      | Serial port baud rate                                        | 200C-03h| 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005     | 0x0005
Communication                                      | Modbus data format                                           | 200C-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Communication                                      | Communication virtual DI                                     | 200C-0Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Communication                                      | Default virtual level of VDI at power-on                     | 200C-0Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Communication                                      | Communication virtual DO                                     | 200C-0Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Communication                                      | Default virtual level of VDO allocated with function 0       | 200C-0Dh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Communication                                      | Update function code values written via communication to EEPROM | 200C-0Eh| 0x0003     | 0x0003     | 0x0003     | 0x0003     | 0x0003     | 0x0003
Communication                                      | CM_SendDelay                                                 | 200C-1Ah| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Communication                                      | Modbus 32-bit function code transmission sequence            | 200C-1Bh| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Auxiliary Function Parameters                      | SubIndex 000                                                 | 200D-00h| 0x17       | 0x17       | 0x17       | 0x19       | 0x19       | 0x19
Auxiliary Function Parameters                      | Software reset                                               | 200D-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Auxiliary Function Parameters                      | Fault reset                                                  | 200D-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Auxiliary Function Parameters                      | Load inertia autotuning                                      | 200D-03h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Auxiliary Function Parameters                      | Emergency stop                                               | 200D-06h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Auxiliary Function Parameters                      | Jog function                                                 | 200D-0Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Auxiliary Function Parameters                      | Forced input and output mode of  DI/DO                       | 200D-12h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Auxiliary Function Parameters                      | Forced input setting of  DI                                  | 200D-13h| 0x01bf     | 0x01bf     | 0x01bf     | 0x01bf     | 0x01bf     | 0x01bf
Auxiliary Function Parameters                      | Forced output setting of  DO                                 | 200D-14h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Closed Loop Function                               | SubIndex 000                                                 | 200F-00h| 0x1a       | 0x1a       | 0x1a       | 0x1d       | 0x1d       | 0x1d
Closed Loop Function                               | Encoder feedback mode                                        | 200F-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Closed Loop Function                               | Running mode of external encoder                             | 200F-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Closed Loop Function                               | External encoder pulses per motor revolution                 | 200F-05h| 0x00002710 | 0x00002710 | 0x00002710 | 0x00002710 | 0x00002710 | 0x00002710
Closed Loop Function                               | Hybrid deviation excess setting                              | 200F-09h| 0x000003e8 | 0x000003e8 | 0x000003e8 | 0x000003e8 | 0x000003e8 | 0x000003e8
Closed Loop Function                               | Hybrid deviation clear setting                               | 200F-0Bh| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Closed Loop Function                               | First-order lowpass filter time of external/internal deviation | 200F-0Eh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Closed Loop Function                               | Hybrid deviation counter                                     | 200F-11h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Closed Loop Function                               | Pulse feedback display of internal encoder                   | 200F-13h| 0x00555074 | 0x0586c199 | 0xffbd54ce | 0x004edf4c | 0xf6b7dc1f | 0x032ccfc9
Closed Loop Function                               | Pulse feedback display of external encoder                   | 200F-15h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
VDI VDO                                            | SubIndex 000                                                 | 2017-00h| 0x41       | 0x41       | 0x41       | 0x41       | 0x41       | 0x41
VDI VDO                                            | VDI1 Terminal Function Selection                             | 2017-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI1 Terminal Logic Selection                                | 2017-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI2 Terminal Function Selection                             | 2017-03h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI2 Terminal Logic Selection                                | 2017-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
